Região;Setor;Subsetor;Susbsetor – Nome;População
Centro;3;03.01;Centro;7205
Centro;3;03.02;Jardim Bela Vista;2405
Centro;3;03.03;Vila Maria;4607
Centro;3;03.04;Vila Nova Guarani;1358
Centro;03A;03A.01;Banhado;665
Centro;4;04.01;Jardim Paulista;5255
Centro;4;04.02;Conjunto Residencial Monte Castelo;6324
Centro;4;04.03;Jardim Jussara;6531
Centro;4;04.04;Vila São Pedro;1608
Centro;4;04.05;Jardim Augusta;1308
Centro;4;04.06;Jardim Oswaldo Cruz;890
Centro;20;20.01;Vila Adyana;9758
Centro;20;20.02;Jardim São Dimas;3615
Centro;20;20.03;Vila Rubi;212
Centro;20;20.04;Vila Betânia;1904
Centro;20;20.05;Jardim Renata;306
Centro;20;20.06;Jardim Maringá;2876
Centro;26;26.01;Jardim Esplanada;7570
Centro;26;26.02;Residencial Esplanada do Sol;1225
Centro;26;26.03;Jardim Apolo;770
Centro;26;26.04;Vila Ema;6009
Leste;5;05.01;Vista Linda;1256
Leste;5;05.02;Vila Industrial;8847
Leste;5;05.03;Jardim Ismênia;10002
Leste;5;05.04;Vila do Tesouro;8582
Leste;5;05.05;Jardim Valparaíba;4386
Leste;5;05.06;Vila Tatetuba;6433
Leste;05A;05A.01;Banhado Leste;234
Leste;05A;05A.02;Sapê;302
Leste;6;06.01;Jardim das Flores;2860
Leste;6;06.02;Eugênio de Melo;2073
Leste;6;06.03;Jardim Itapuã;1637
Leste;6;06.04;Galo Branco;14043
Leste;06A;06A.01;Banhado Eugênio de Melo;262
Leste;7;07.01;Campos de São José;9277
Leste;7;07.02;Jardim Mariana;4085
Leste;7;07.03;Pousada do Vale;1875
Leste;7;07.04;Petrobras;0
Leste;8;08.01;Jardim Diamante;811
Leste;8;08.02;Jardim Motorama;2956
Leste;8;08.03;Cidade Vista Verde;8387
Leste;8;08.04;Villagio Antonini;2106
Leste;27;27.01;Jardim Santa Inês 1;5790
Leste;27;27.02;Jardim Santa Inês 3;3541
Leste;27;27.03;Frei Galvão;2592
Leste;27;27.04;Jardim São José;5657
Leste;27;27.05;Jardim Paraíso do Sol;2887
Leste;27;27.06;Jardim Castanheira;2575
Leste;27;27.07;Chácaras Araújo;2484
Leste;27;27.08;Jardim Nova Michigan;1976
Leste;27;27.09;Parque Novo Horizonte;10216
Leste;27;27.10;Jardim Santa Helena;747
Leste;27;27.11;Residencial Dom Bosco;3237
Leste;27;27.12;Parque Nova Esperança;5486
Leste;30;30.01;Capão Grosso;775
Leste;30;30.02;Jardim Santa Maria;2667
Leste;30;30.03;Santa Lúcia;2728
Leste;30;30.04;Majestic;2340
Leste;30;30.05;Bom Retiro;2496
Leste;30;30.06;Santa Hermínia;3646
Leste;30;30.07;Chácara Boa Esperança;2963
Leste;31;31.01;Jardim Santa Cecília;714
Leste;31;31.02;Serrote;2957
Leste;31;31.03;Jardim Helena;3101
