Nome,Bairro,Região
Aladir Maia Ribeiro Gomes Escola Municipal de Educação Infantil,Jardim Satélite,Sul
Ana Isabel Barbosa Profa Escola Municipal de Educação Infantil,Buquirinha,Norte
Ana Lucia de Castro Micheleto Profa Escola Municipal de Educação Infantil,Vila Tatetuba,Leste
Angela de Castro Fernandes Lopes Profa Escola Municipal de Educação Infantil,Parque Industrial,Sul
Arlindo Caetano Filho Professor Escola Municipal de Educação Infantil,Conjunto Residencial 31 de Março,Sul
Artur Aparecido da Rosa Escola Municipal de Educação Infantil,Jardim São Judas Tadeu,Sudeste
Bairro dos Freitas Nei do,Freitas,Norte
Benedito Carvalho dos Santos Escola Municipal de Educação Infantil,Vila Maria,Centro
Cassiano Ricardo Escola Municipal de Educação Infantil,Vila Adyana,Centro
Cleanir Santos Maldonado Campoy Profa Escola Municipal de Educação Infantil,Jardim Aeroporto,Sul
Cremilda Alves de Oliveira Azevedo Profa Escola Municipal de Educação Infantil,Vila Nova Cristina,Norte
Denise Prates Fernandes Rocha Escola Municipal de Educação Infantil Profa,Vila Monterrey,Leste
Dirce Saloni Pires Profa Escola Municipal de Educação Infantil,Vila Paiva,Norte
Domingos de Macedo Custódio Professor Escola Municipal de Educação Infantil,Vila Tesouro,Leste
Doroti da Silva Cunha Escola Municipal de Educação Infantil,Jardim Santa Inês I,Leste
Edera Irene Pereira de Oliveira Cardoso Profa Escola Municipal de Educação Infantil,Jardim Paraíso do Sol,Leste
Elza Ferreira Rahal Profa Escola Municipal de Educação Infantil,Vila Maria,Centro
Elza Maria Dias Mendonça Profa Escola Municipal de Educação Infantil,Monte Castelo,Centro
Fatima Aparecida Berthoud Escola Municipal de Educação Infantil,Eugênio de Mello,Leste
Febronio Pereira Gomes Escola Municipal de Educação Infantil,Parque Novo Horizonte,Leste
Helena Vaz de Lima Soliva Profa Escola Municipal de Educação Infantil,Jardim São Dimas,Centro
Idelena Menezes Trefilio de Carvalho Profa Escola Municipal de Educação Infantil,Santana,Norte
Ignez Sagula Fossa Profa Escola Municipal de Educação Infantil,Jardim Limoeiro,Oeste
Ilza Nascimento Pintus Professora Escola Municipal de Educação Infantil,Chácaras Reunidas,Sul
Iracema Oliveira de Mello Escola Municipal de Educação Infantil,Jardim Santo Onofre,Sudeste
Jane Palumbo Profa Escola Municipal de Educação Infantil,Conjunto Residencial Dom Pedro I,Sul
Jesus de Nazaré Escola Municipal de Educação Infantil,Vila São Bento,Sul
João Marcondes Guimarães Padre Escola Municipal de Educação Infantil,Bosque dos Eucaliptos,Sul
José Antero Cursino dos Santos Professor Escola Municipal de Educação Infantil,Jardim Satélite,Sul
José Madureira Lebrão Escola Municipal de Educação Infantil,Jardim Mariana II,Sul
José Paulino Bicudo Escola Municipal de Educação Infantil,Conjunto Residencial Vale dos Pinheiros,Centro
José Purcini Escola Municipal de Educação Infantil,Jardim Santa Inês II,Leste
José Rubens Franco Bonafé Padre Escola Municipal de Educação Infantil,Jardim Santa Matilde,Sul
José Sodero Bitencourt Professor Escola Municipal de Educação Infantil,Residencial Bosque dos Ipês,Sul
Ladiel Benedito de Carvalho Professor Escola Municipal de Educação Infantil,Parque Interlagos,Sul
Lourdes de Oliveira Mendes Profa Escola Municipal de Educação Infantil,Jardim Pararangaba,Leste
Lucia Maria do Amaral Professora Escola Municipal de Educação Infantil,Jardim Santa Luzia,Sudeste
Luiz Sundfeld Professor Escola Municipal de Educação Infantil,Conjunto Residencial Galo Branco,Leste
Maria Alice Pasquarelli Profa Escola Municipal de Educação Infantil,Jardim Copacabana,Sul
Maria Aparecida Candelaria Bernardes Ottoboni Profa Escola Municipal de Educação Infantil,Alto da Ponte,Norte
Maria Aparecida Savastano Sanchez Profa Escola Municipal de Educação Infantil,Centro,Centro
Maria Clara Fernandes Correia França da Silva Profa Escola Municipal de Educação Infantil,Cidade Morumbi,Sul
Maria da Glória Mariano Santos Profa Escola Municipal de Educação Infantil,Jardim Telespark,Sul
Maria Ezequiel Sant’Anna Profa Escola Municipal de Educação Infantil,Jardim Satélite,Sul
Maria José Guido Brogliato Freire Profa Escola Municipal de Educação Infantil,Jardim Colonial,Sul
Maria Leonor de Campos Mota Miranda Profa Escola Municipal de Educação Infantil,Loteamento Santa Edwiges,Sul
Marianita de Oliveira Pereira Santos Profa Escola Municipal de Educação Infantil,Bosque dos Eucaliptos,Sul
Marilda Aparecida Montemor Profa Escola Municipal de Educação Infantil,Jardim Oriente,Sul
Mario Campaner Professor Escola Municipal de Educação Infantil,Jardim das Indústrias,Sul
Norma Lucia Rodrigues de Almeida Profa Escola Municipal de Educação Infantil,Jardim das Flores,Norte
Olga Elias da Cunha Profa Nei,Vila São Bento,Sul
Olga Franco Custódio Profa Escola Municipal de Educação Infantil,Jardim Motorama,Leste
Rio Comprido Escola Municipal de Educação Infantil,Rio Comprido,Sul
Rosana Scarpel da Silva Profa Escola Municipal de Educação Infantil,Campo dos Alemães,Sul
Sandra Regina de Almeida Paulo Profa Escola Municipal de Educação Infantil,Jardim Americano,Sul
Silvia Helena de Sousa Profa Escola Municipal de Educação Infantil,Santana,Norte
Sonia Mara Ramos Profa Escola Municipal de Educação Infantil,Vila São Pedro,Centro
Torataro Takitani Escola Municipal de Educação Infantil,Jardim Vale do Sol,Sul
Valeria Aparecida de Almeida Vasconcelos Profa Escola Municipal de Educação Infantil,Residencial Gazzo,Sul
Vicente Simião Luz Escola Municipal de Educação Infantil,Jardim São Leopoldo,Sudeste
Vila São Geraldo Escola Municipal de Educação Infantil da,Vila São Geraldo,Norte
Zeli de Toledo Dias Profa Escola Municipal de Educação Infantil,Jardim Uirá,Sudeste
Zenaide Vilalva Araújo Profa Escola Municipal de Educação Infantil,Vila Adyana,Centro
Zilda Costa de Oliveira Profa Escola Municipal de Educação Infantil,Jardim da Granja,Sudeste
