NO_ENTIDADE,TP_DEPENDENCIA,NO_BAIRRO,QT_MAT_INF
SEMEAR CENTRO EDUCACIONAL,4,VILA BETANIA,23.0
ROSANA SCARPEL DA SILVA PROFA EMEI,3,CAMPO DOS ALEMAES,289.0
MARIA DAS DORES II ESCOLA DE EDUCACAO INFANTIL,4,JARDIM AMERICA,14.0
MARIA APARECIDA CANDELARIA BERNARDES OTTOBONI PROFA EMEI,3,ALTO DA PONTE,443.0
DENISE PRATES FERNANDES ROCHA EMEI PROFA,3,VILA MONTERREY,389.0
MARIA LEONOR DE CAMPOS MOTA MIRANDA PROFA EMEI,3,LOTEAMENTO SANTA EDWIGES,362.0
GENTE MIUDA ESCOLA DE EDUCACAO INFANTIL,4,CONJUNTO RESIDENCIAL GALO BRANCO,21.0
MARIA APARECIDA SEGOLIN DE REZENDE PROFA CEDIN,4,RESIDENCIAL PINHEIRINHO DOS PALMARES II,444.0
COLEGIO EL SHADAY,4,JARDIM ORIENTE,119.0
MARIA CURSINO CECOI,4,BAIRRINHO,79.0
DEJANIRA MOREIRA MACHADO DOS SANTOS PROF CEDIN,4,SETVILLE ALTOS DE SAO JOSE,246.0
INSTITUTO FOCUS EDUCACIONAL,4,JARDIM SUL,4.0
ESCOLA PINDORAMA,4,JARDIM SATELITE,92.0
JARDIM AURORA,4,JARDIM NOVA AMERICA,35.0
NOSSO QUINTAL CENTRO DE DESENVOLVIMENTO INFANTIL,4,JARDIM DAS INDUSTRIAS,21.0
PEQUENOS PASSOS EDUCACAO INFANTIL,4,PARQUE NOVO HORIZONTE,23.0
ESCOLA LUDERE,4,PARQUE INDUSTRIAL,23.0
ESCOLA GRILO FALANTE UNIDADE 2,4,JARDIM ESPLANADA II,39.0
CENTRO EDUCACIONAL INFANTIL LETRA E MAGIA,4,RESIDENCIAL UNIAO,52.0
GRAO DE MOSTARDA BERCARIO E ESCOLA DE EDUCACAO INFANTIL,4,JARDIM ISMENIA,17.0
CENTRO DE EDUCACAO POR PRINCIPIOS ARCA DE NOE,4,JARDIM DAS INDUSTRIAS,41.0
GLOW EDUCACAO,4,JARDIM MARGARETH,53.0
ESCOLA DE ENSINO FUNDAMENTAL EDUCA KIDS LTDA,4,SANTANA,27.0
COLEGIO SOLARE,4,URBANOVA,164.0
ESCOLA CASINHA VERDE,4,JARDIM PAULISTA,13.0
CENTRO DE RECREACAO INFANTIL MUNDO MAGICO LTDA,4,CIDADE MORUMBI,37.0
COLEGIO MATER PURISSIMA,4,JARDIM APOLO I,61.0
JOSE ARANTES LIMA DIACONO CEDIN,4,BOSQUE DOS EUCALIPTOS,297.0
MARCIA APARECIDA MARTINS CEDIN,4,JARDIM DAS PAINEIRAS II,312.0
CRER SER EDUCACAO INFANTIL,4,VILA IRACEMA,9.0
SYLVIO DE BARROS BINDAO PROF CEDIN,4,JARDIM SANTA HERMINIA,247.0
ELO KIDS CENTRO EDUCACIONAL LTDA,4,JARDIM SAO DIMAS,52.0
INSTITUTO EDUCACIONAL ALETEA,4,JARDIM ESPLANADA II,64.0
BERCARIO JARDIM DO SOL LTDA,4,PORTAL DOS PASSAROS,11.0
BELLONINHO,4,JARDIM DAS COLINAS,25.0
CADI CENTRO DE APRENDIZAGEM E DESENVOLVIMENTO INFANTIL,4,JARDIM ESPLANADA,30.0
CENTRO EDUCACIONAL BRINCANDO E APRENDENDO,4,JARDIM IMPERIAL,20.0
JOANA MATTAR DE OLIVEIRA CEDIN,4,CONJUNTO RESIDENCIAL TRINTA E UM DE MARCO,289.0
MARIA DE LOURDES CONSTANTINO PROFA CEDIN,4,PARQUE NOVO HORIZONTE,307.0
JOAO LOPES SIMOES CEDIN,4,JARDIM ORIENTE,257.0
MARILDA FERREIRA DE BRITO BARROS PEREIRA CEDIN,4,JARDIM VALPARAIBA,198.0
ANJELA MARIA DE SOUZA ALVES PROFA CEDIN,4,CIDADE MORUMBI,231.0
MARIA APARECIDA DA SILVA SOUZA PROFA CEDIN,4,CHACARAS POUSADA DO VALE,211.0
MAROCA VENEZIANI CEDIN,4,ALTO DA PONTE,313.0
ELIANA DE OLIVEIRA SANTOS CRUZ PROFA CEDIN,4,RESIDENCIAL ARMANDO MOREIRA RIGHI,186.0
PEDRO DE ALCANTARA DOM CEDIN,4,CONJUNTO PAPA JOAO PAULO II,238.0
ARMILINDA LOCATELLI DE MACEDO CEDIN,4,VILA TESOURO,301.0
