NO_ENTIDADE,TP_DEPENDENCIA,NO_BAIRRO,QT_MAT_INF,bairro,região
SEMEAR CENTRO EDUCACIONAL,4,VILA BETANIA,23.0,VILA BETANIA,Centro
ROSANA SCARPEL DA SILVA PROFA EMEI,3,CAMPO DOS ALEMAES,289.0,CAMPO DOS ALEMAES,Sul
MARIA DAS DORES II ESCOLA DE EDUCACAO INFANTIL,4,JARDIM AMERICA,14.0,JARDIM AMERICA,Sul
MARIA APARECIDA CANDELARIA BERNARDES OTTOBONI PROFA EMEI,3,ALTO DA PONTE,443.0,ALTO DA PONTE,Norte
DENISE PRATES FERNANDES ROCHA EMEI PROFA,3,VILA MONTERREY,389.0,VILA MONTERREY,Leste
MARIA LEONOR DE CAMPOS MOTA MIRANDA PROFA EMEI,3,LOTEAMENTO SANTA EDWIGES,362.0,JARDIM SANTA EDWIGES,Sul
GENTE MIUDA ESCOLA DE EDUCACAO INFANTIL,4,CONJUNTO RESIDENCIAL GALO BRANCO,21.0,RES GALO BRANCO,Leste
MARIA APARECIDA SEGOLIN DE REZENDE PROFA CEDIN,4,RESIDENCIAL PINHEIRINHO DOS PALMARES II,444.0,PUTIM,Sudeste
COLEGIO EL SHADAY,4,JARDIM ORIENTE,119.0,JARDIM ORIENTE,Sul
MARIA CURSINO CECOI,4,BAIRRINHO,79.0,BAIRRINHO,Leste
DEJANIRA MOREIRA MACHADO DOS SANTOS PROF CEDIN,4,SETVILLE ALTOS DE SAO JOSE,246.0,CAMPOS DE SAO JOSE,Leste
INSTITUTO FOCUS EDUCACIONAL,4,JARDIM SUL,4.0,JARDIM SUL,Sul
ESCOLA PINDORAMA,4,JARDIM SATELITE,92.0,JARDIM SATELITE,Sul
JARDIM AURORA,4,JARDIM NOVA AMERICA,35.0,JARDIM NOVA AMERICA,Centro
NOSSO QUINTAL CENTRO DE DESENVOLVIMENTO INFANTIL,4,JARDIM DAS INDUSTRIAS,21.0,JARDIM DAS INDUSTRIAS,Oeste
PEQUENOS PASSOS EDUCACAO INFANTIL,4,PARQUE NOVO HORIZONTE,23.0,PARQUE NOVO HORIZONTE,Leste
ESCOLA LUDERE,4,PARQUE INDUSTRIAL,23.0,PARQUE INDUSTRIAL,Sul
